,Accuracy without Outliers_removal,Accuracy Threshold=0.02,Accuracy Threshold=0.04,Accuracy Threshold=0.06,Accuracy Threshold=0.08
gbc,0.7462,0.7361,0.7339,0.7252,0.7443
lightgbm,0.743,0.7393,0.7409,0.7387,0.7456
ada,0.7303,0.7041,0.7063,0.697,0.7055
rf,0.6951,0.6766,0.6927,0.6797,0.712
dt,0.6812,0.6661,0.6696,0.6637,0.6711
et,0.6765,0.6698,0.6803,0.6751,0.7124
lr,0.6325,0.6277,0.6205,0.6304,0.6087
ridge,0.6309,0.6221,0.637,0.6317,0.6199
knn,0.6107,0.6035,0.6551,0.5988,0.647
qda,0.5723,0.5041,0.5738,0.5495,0.5691
svm,0.5643,0.5311,0.5116,0.5285,0.5024
nb,0.5054,0.4863,0.4889,0.4901,0.4929
dummy,0.5018,0.5141,0.5107,0.5099,0.508
lda,0.4193,0.3652,0.3709,0.4763,0.491
